"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"2311","Bachelors Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"2312","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"2313","Bachelors Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Above Average"
"2314","Less Than High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"2315","Bachelors Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"2316","Associate / Junior College","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2317","Graduate Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"2318","High School","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"2319","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Average"
"2320","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2321","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"2322","Bachelors Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"2323","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"2324","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2325","High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"2326","Bachelors Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"2327","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Below Average"
"2328","High School","Very Satisfied","Middle Class","Not Satisfied at All","Below Average"
"2329","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2330","Graduate Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"2331","Bachelors Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"2332","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2333","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"2334","Less Than High School","Very Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"2335","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Average"
"2336","Bachelors Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"2337","Associate / Junior College","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"2338","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2339","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"2340","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"2341","Bachelors Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"2342","High School","Very Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2343","Less Than High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2344","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2345","High School","Very Satisfied","Upper Class","More or Less Satisfied","Average"
"2346","High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"2347","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"2348","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Average"
"2349","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2350","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"2351","Associate / Junior College","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"2352","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"2353","High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Average"
"2354","Bachelors Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"2355","Bachelors Degree","Very Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"2356","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2357","Graduate Degree","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2358","Graduate Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2359","Less Than High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"2360","Less Than High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Average"
"2361","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"2362","Less Than High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"2363","Less Than High School","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"2364","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2365","Associate / Junior College","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2366","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"2367","Associate / Junior College","Very Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"2368","Bachelors Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"2369","Less Than High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"2370","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2371","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"2372","High School","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"2373","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Average"
"2374","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2375","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"2376","Less Than High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"2377","Bachelors Degree","Very Satisfied","Upper Class","Not Satisfied at All","Average"
"2378","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"2379","High School","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"2380","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"2381","Graduate Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2382","Bachelors Degree","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2383","Bachelors Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2384","Less Than High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2385","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2386","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Average"
"2387","Graduate Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Average"
"2388","High School","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"2389","High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"2390","High School","Very Satisfied","Lower Class","More or Less Satisfied","Below Average"
"2391","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"2392","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"2393","Associate / Junior College","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"2394","Associate / Junior College","A Little Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"2395","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"2396","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"2397","Less Than High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"2398","Bachelors Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"2399","High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2400","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2401","Graduate Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"2402","Associate / Junior College","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"2403","High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Average"
"2404","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"2405","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2406","Less Than High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2407","Bachelors Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"2408","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"2409","Graduate Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2410","Less Than High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"2411","High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"2412","Graduate Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Average"
"2413","Associate / Junior College","Very Satisfied","Working Class","Not Satisfied at All","Above Average"
"2414","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Below Average"
"2415","Bachelors Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2416","Graduate Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2417","Bachelors Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"2418","High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"2419","Graduate Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"2420","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2421","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Above Average"
"2422","Graduate Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"2423","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"2424","High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2425","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
